"","source.type","pucid","form","variable","dtxsid","product.id","pr.chem","dist.type","par1","par2","par3","par4","l.trunc","u.trunc","resamp"
"1","product","AC.0100.010","liquid","f.chemical","DTXSID00107801",1,1,"uniform",0.15,0.4,NA,NA,NA,NA,NA
"2","product","AC.0100.010","liquid","f.chemical","DTXSID00107801",2,1,"uniform",0.15,0.4,NA,NA,NA,NA,NA
"3","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",1,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"4","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",2,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"5","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",3,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"6","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",4,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"7","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",5,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"8","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",6,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"9","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",7,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"10","product","AC.0100.010","liquid","f.chemical","DTXSID0021206",8,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"11","product","AC.0100.010","liquid","f.chemical","DTXSID0025941",1,1,"uniform",0.08,0.17,NA,NA,NA,NA,NA
"12","product","AC.0100.010","liquid","f.chemical","DTXSID0025941",2,1,"uniform",0.08,0.17,NA,NA,NA,NA,NA
"13","product","AC.0100.010","liquid","f.chemical","DTXSID0025941",3,1,"uniform",0.08,0.17,NA,NA,NA,NA,NA
"14","product","AC.0100.010","liquid","f.chemical","DTXSID0025941",4,1,"uniform",0.08,0.17,NA,NA,NA,NA,NA
"15","product","AC.0100.010","liquid","f.chemical","DTXSID0026838",1,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"16","product","AC.0100.010","liquid","f.chemical","DTXSID0027983",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"17","product","AC.0100.010","liquid","f.chemical","DTXSID0028115",1,1,"uniform",0.07,0.13,NA,NA,NA,NA,NA
"18","product","AC.0100.010","liquid","f.chemical","DTXSID0028115",2,1,"uniform",0.07,0.13,NA,NA,NA,NA,NA
"19","product","AC.0100.010","liquid","f.chemical","DTXSID0028115",3,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"20","product","AC.0100.010","liquid","f.chemical","DTXSID0028115",4,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"21","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"22","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",2,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"23","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",3,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"24","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",4,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"25","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",5,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"26","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",6,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"27","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",7,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"28","product","AC.0100.010","liquid","f.chemical","DTXSID0029632",8,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"29","product","AC.0100.010","liquid","f.chemical","DTXSID0049608",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"30","product","AC.0100.010","liquid","f.chemical","DTXSID0049789",1,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"31","product","AC.0100.010","liquid","f.chemical","DTXSID0049789",2,1,"uniform",0.03,0.07,NA,NA,NA,NA,NA
"32","product","AC.0100.010","liquid","f.chemical","DTXSID0093972",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"33","product","AC.0100.010","liquid","f.chemical","DTXSID0093972",2,1,"uniform",0.04,0.15,NA,NA,NA,NA,NA
"34","product","AC.0100.010","liquid","f.chemical","DTXSID0093972",3,1,"uniform",0.04,0.15,NA,NA,NA,NA,NA
"35","product","AC.0100.010","liquid","f.chemical","DTXSID0093972",4,1,"uniform",0.04,0.15,NA,NA,NA,NA,NA
"36","product","AC.0100.010","liquid","f.chemical","DTXSID0093972",5,1,"uniform",0.04,0.15,NA,NA,NA,NA,NA
"37","product","AC.0100.010","liquid","f.chemical","DTXSID1021455",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"38","product","AC.0100.010","liquid","f.chemical","DTXSID1022001",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"39","product","AC.0100.010","liquid","f.chemical","DTXSID1022001",2,1,"uniform",0.1,0.3,NA,NA,NA,NA,NA
"40","product","AC.0100.010","liquid","f.chemical","DTXSID1022001",3,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"41","product","AC.0100.010","liquid","f.chemical","DTXSID1023233",1,1,"uniform",0.1,0.3,NA,NA,NA,NA,NA
"42","product","AC.0100.010","liquid","f.chemical","DTXSID1023233",2,1,"uniform",0.1,0.3,NA,NA,NA,NA,NA
"43","product","AC.0100.010","liquid","f.chemical","DTXSID1049643",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"44","product","AC.0100.010","liquid","f.chemical","DTXSID1049643",2,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"45","product","AC.0100.010","liquid","f.chemical","DTXSID201009586",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"46","product","AC.0100.010","liquid","f.chemical","DTXSID2020189",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"47","product","AC.0100.010","liquid","f.chemical","DTXSID2020189",2,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"48","product","AC.0100.010","liquid","f.chemical","DTXSID2020555",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"49","product","AC.0100.010","liquid","f.chemical","DTXSID2021288",1,1,"uniform",0.1,0.3,NA,NA,NA,NA,NA
"50","product","AC.0100.010","liquid","f.chemical","DTXSID2021446",1,1,"point",1,0,NA,NA,NA,NA,NA
"51","product","AC.0100.010","liquid","f.chemical","DTXSID2021941",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"52","product","AC.0100.010","liquid","f.chemical","DTXSID2025505",1,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"53","product","AC.0100.010","liquid","f.chemical","DTXSID2025505",2,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"54","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"55","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",2,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"56","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",3,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"57","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",4,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"58","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",5,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"59","product","AC.0100.010","liquid","f.chemical","DTXSID2025507",6,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
"60","product","AC.0100.010","liquid","f.chemical","DTXSID2026789",1,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"61","product","AC.0100.010","liquid","f.chemical","DTXSID2026789",2,1,"uniform",0.05,0.1,NA,NA,NA,NA,NA
"62","product","AC.0100.010","liquid","f.chemical","DTXSID2027967",1,1,"uniform",0.01,0.05,NA,NA,NA,NA,NA
