"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Total,3.8209e-06,8.327e-07,1.7225e-06,3.99928e-05,5.4e-10,6e-10,8.09e-07,6.3988e-06,7.2083e-06,9.54e-11,6.8e-09,0,1.70008e-05,6e-10,8.09e-07
"sd",Total,0.000364104137034243,7.85344082300084e-05,0.000172189997483226,0.00399883996284585,5.39200161054657e-08,6e-08,7.62925040460553e-05,0.000639809994171257,0.000716106298627657,9.47010386039734e-09,6.8e-07,0,0.00170008,3.46375515300605e-08,7.62925040460553e-05
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Males,7.74466338259442e-06,1.68390804597701e-06,3.53530377668309e-06,8.20847701149425e-05,1.10816912972085e-09,1.23152709359606e-09,1.63567323481117e-06,1.31334154351396e-05,1.47703201970443e-05,1.95607553366174e-10,1.39573070607553e-08,0,3.48949096880131e-05,1.02627257799672e-09,1.63567323481117e-06
"sd",Males,0.000521616667216664,0.000112505444762871,0.000246691546966332,0.00572902056361744,7.72496134000124e-08,8.59602382591879e-08,0.000109293654524482,0.000916636987201971,0.00102594323930657,1.35675245508995e-08,9.7421603360413e-07,0,0.00243565469766134,4.75101014383252e-08,0.000109293654524482
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Females,9.30187207488299e-08,2.39859594383775e-08,1.95007800312012e-10,2.14508580343214e-09,1.95007800312012e-13,0,2.35959438377535e-08,3.90015600624025e-10,2.37909516380655e-08,1.95007800312012e-13,0,0,0,1.95007800312012e-10,2.35959438377535e-08
"sd",Females,4.80703579642167e-06,1.31902181715205e-06,1.39645193369486e-08,1.40338972214868e-07,1.39645193369486e-11,0,1.29153406763561e-06,2.79290386738973e-08,1.30527560047406e-06,1.39645193369486e-11,0,0,0,1.39645193369486e-08,1.29153406763561e-06
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Females_Repro,1.76679841897233e-07,4.66403162055336e-08,3.95256916996047e-10,4.34782608695652e-09,3.95256916996047e-13,0,4.58498023715415e-08,7.90513833992095e-10,4.62450592885375e-08,3.95256916996047e-13,0,0,0,3.95256916996047e-10,4.58498023715415e-08
"sd",Females_Repro,6.81733723932348e-06,1.87515613613123e-06,1.98810693121886e-08,1.99794451425708e-07,1.98810693121886e-11,0,1.83596612670184e-06,3.97621386243772e-08,1.85555808847812e-06,1.98810693121886e-11,0,0,0,1.98810693121886e-08,1.83596612670184e-06
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_0_5,9.67741935483871e-08,3.10173697270472e-08,3.72208436724566e-09,2.35732009925558e-08,3.72208436724566e-12,0,2.97766749379653e-08,3.72208436724566e-09,3.34987593052109e-08,2.48138957816377e-12,0,0,0,3.72208436724566e-09,2.97766749379653e-08
"sd",Age_0_5,2.74743281933775e-06,8.80587442095434e-07,1.05670493051452e-07,6.6924645599253e-07,1.05670493051452e-10,0,8.45363944411616e-07,1.05670493051452e-07,9.51034437463068e-07,7.04469953676347e-11,0,0,0,1.05670493051452e-07,8.45363944411616e-07
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
