"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Total,9.62211782325103e-23,2.57381356653648e-23,3.50031403881532e-25,3.73859602763577e-24,1.2379287711653e-27,1.26592842481999e-26,2.50013231313254e-23,5.98175364421723e-25,2.53730097209683e-23,1.12172701184118e-27,0,0,0,3.50031403881532e-25,2.49826424570628e-23
"mean",Total,3.8208774569368e-06,8.32867018120902e-07,1.72243147521728e-06,3.9992926576556e-05,5.40080320692314e-10,6.20667225090962e-10,8.09024309926409e-07,6.39886825224896e-06,7.20851322940046e-06,9.5406078036959e-11,6.8451e-09,0,1.70007820426127e-05,5.34183296623395e-10,8.08986531726759e-07
"sd",Total,0.00036410011375608,7.8537464878805e-05,0.00017218972665971,0.00399884079489951,5.39231682128918e-08,6.02698579309354e-08,7.62891517427351e-05,0.000639814527183923,0.000716107692795005,9.4704283343388e-09,6.8451e-07,0,0.00170007820426127,3.11080412162014e-08,7.62890597629185e-05
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Males,1.62592774075983e-24,3.78441199044516e-25,6.53748230822497e-27,6.28447294027283e-26,5.60658730432757e-30,1.16851471212344e-28,3.67607461027191e-25,1.00551567044365e-26,3.7777946920284e-25,4.79685129505337e-30,0,0,0,6.53748230822497e-27,3.67327558761347e-25
"mean",Males,7.74463291954157e-06,1.68386765289029e-06,3.5351664736068e-06,8.20848259125687e-05,1.10824691727283e-09,1.2687538695959e-09,1.63566312057901e-06,1.3133572146011e-05,1.47705040204596e-05,1.95561349802809e-10,1.40498768472906e-08,0,3.48948728296648e-05,8.94527956852383e-10,1.63560869760518e-06
"sd",Males,0.000521610937184741,0.00011250976571667,0.000246691160129686,0.00572902175692312,7.72541300345616e-08,8.63464107881827e-08,0.000109288918384925,0.000916643481107699,0.00102594523380032,1.35679925518729e-08,9.80677378179945e-07,0,0.00243565212495919,4.34647046210624e-08,0.000109288797558943
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females,1.0834153338433e-19,2.76920266972425e-20,2.94175058100289e-22,2.45691535962226e-21,3.00055593679671e-25,1.13126691880575e-23,2.68992795989769e-20,3.93106457539562e-22,2.73036987257045e-20,2.71566215233514e-25,0,0,0,2.94175058100289e-22,2.68613131892852e-20
"mean",Females,9.30037022935797e-08,2.43500343852403e-08,1.91827761398038e-10,2.33890786369746e-09,2.77735173535487e-13,4.93436003088416e-12,2.36529593999887e-08,3.74225258191593e-10,2.40321190182112e-08,2.50757435706998e-13,0,0,0,1.91827761398038e-10,2.36309950341522e-08
"sd",Females,4.80345062949742e-06,1.32404228029467e-06,9.60201266869849e-09,1.36124502192969e-07,1.29248865487577e-11,2.01018728060091e-10,1.28613856572874e-06,2.1779920350875e-08,1.30790473303909e-06,1.16115262838747e-11,0,0,0,9.60201266869849e-09,1.28527209536891e-06
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females_Repro,6.48860475919278e-187,2.4103703279219e-187,5.87714339690954e-189,6.71501730114819e-188,4.89471933501884e-192,5.86639519257751e-191,2.34136800808101e-187,1.07440276818371e-188,2.44939492441864e-187,3.88814489076847e-192,0,0,0,5.87714339690954e-189,2.33942362176659e-187
"99.5%",Females_Repro,1.0834153338433e-19,2.76920266972425e-20,2.94175058100289e-22,2.45691535962226e-21,3.00055593679671e-25,1.13126691880575e-23,2.68992795989769e-20,3.93106457539562e-22,2.73036987257045e-20,2.71566215233514e-25,0,0,0,2.94175058100289e-22,2.68613131892852e-20
"mean",Females_Repro,1.7647165753225e-07,4.71595885868968e-08,3.7864080663553e-10,4.6330912314419e-09,5.30586033415015e-13,8.0182328582109e-12,4.58095383570454e-08,7.41294597030704e-10,4.65588511869343e-08,4.78046567608407e-13,0,0,0,3.7864080663553e-10,4.57674227543786e-08
"sd",Females_Repro,6.81260103542918e-06,1.88191733007377e-06,1.36599328308001e-08,1.93717386080961e-07,1.83355557753068e-11,2.68652482735166e-10,1.82804317637232e-06,3.09947817729537e-08,1.85902561008494e-06,1.64679570982945e-11,0,0,0,1.36599328308001e-08,1.82681451481514e-06
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
