"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","M","59","W","0","90.985","2.683136","0.147964","0.560747","0","3e-06","0.00501","1.697767","2.258683","2.4825e-05","8.8e-05","0.271643","0.544694","0.816425","8.973e-06","0.47194","61.756636","0","12.443324","0.000188","0.544691"
"2","F","4","P","1","18.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4155","0","0","0","0"
"3","M","65","F","0","85.584","5.00232","0.02611","1.124275","0","7.1e-05","0.008857","0.356533","1.481818","1.7314e-05","0.000556","0.057045","1.09209","1.149691","1.3434e-05","0.514596","84.682023","0","21.997461","0.000245","1.092021"
"4","M","20","W","0","66.718","1.02365","0.034508","0.28782","0","1.1e-05","0.001841","0.35668","0.644778","9.664e-06","0.000111","0.057069","0.27958","0.336759","5.047e-06","0.115483","35.012256","0","4.573495","0.000549","0.279569"
"5","F","71","S","0","64.165","2.382989","0.114693","0.727748","0","4.4e-05","0.004039","0.748934","1.477138","2.3021e-05","0.000257","0.119829","0.706915","0.827001","1.2889e-05","0.4687","79.86745","0","10.031238","0.001835","0.706872"
"6","M","53","W","0","78.931","0.153796","0.000919","0.045205","0","3.2e-05","0","0.00689","0.052116","6.6e-07","8e-06","0.001102","0.043911","0.045022","5.7e-07","0.022454","57.895297","0","0","0.000919","0.04388"
"7","F","3","W","1","15.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.770042","0","0","0","0"
"8","M","16","W","0","81.169","1.796352","0.099791","0.415098","0","6e-06","0.003332","1.252003","1.667414","2.0543e-05","0.00021","0.200321","0.403215","0.603745","7.438e-06","0.407994","68.356503","0","8.27502","0.00019","0.403209"
"9","M","76","S","0","76.368","2.018291","0.14736","0.365658","0","8.4e-05","0.00293","1.87977","2.245742","2.9407e-05","0.000139","0.300763","0.35519","0.656093","8.591e-06","0.384709","40.822739","0","7.277114","0.000609","0.355109"
"10","M","26","F","0","62.307","1.195689","0.029153","0.241253","0","7e-06","0.002206","0.288497","0.529991","8.506e-06","0.000133","0.046159","0.234347","0.280639","4.504e-06","0.104356","43.890857","0","5.478276","0.000299","0.23434"
"11","F","56","P","0","55.296","0.026742","0.000212","0.005804","0","7e-06","0","0.00184","0.007646","1.38e-07","1e-06","0.000294","0.005638","0.005933","1.07e-07","0.002635","31.516575","0","0","0.000212","0.005632"
