"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0.00230383977627234,0.000536646519193869,8.05830120794263e-06,5.70620003498788e-05,1.05158641883347e-08,2.16328807960197e-07,0.00052128379491455,9.12992005598062e-06,0.000565749881224636,8.68832232525427e-09,0,0,0,2.38717760882166e-06,0.000520791283163803
"70%",Total,0.218704741280344,0.0552786820238932,0.0180471922557283,0.17986609656492,3.93222830975029e-06,1.97975298868487e-05,0.053696204321936,0.0287785754503871,0.0928191449875459,1.42079844719858e-06,9.3757e-05,0,0.207809268852161,1.3879678306397e-05,0.0536758560471463
"75%",Total,0.483505213820605,0.116753825837643,0.0423644179607566,0.460325624591322,9.5213227725116e-06,4.12803924306781e-05,0.113411482655032,0.0736520999346115,0.220212878393742,3.29115582569405e-06,0.000166572,2.28059992581931,0.305450256940387,2.43599494905482e-05,0.113409836233806
"80%",Total,0.763759035188189,0.189037444061356,0.0772247352195037,0.845417927575461,1.66019959702773e-05,6.76597748818441e-05,0.183625818293347,0.135266868412074,0.357230400651155,5.35012399322358e-06,0.000249609,3.75900403183493,0.41920277168442,4.60222841650265e-05,0.183623647903331
"85%",Total,1.11022951446868,0.273125777908109,0.1331951869732,1.48437924430435,2.74248750659141e-05,0.000100876005905272,0.265306932784731,0.237500679088697,0.533950595040199,8.25310175758504e-06,0.000359658,5.52200390470011,0.569996341431632,9.54227955544523e-05,0.265304110150374
"90%",Total,1.623173444843,0.410304699436928,0.237794487338267,2.64770040567484,4.80918618310772e-05,0.000152550356614193,0.398558796421611,0.423632064907974,0.86617492198336,1.34225790818218e-05,0.000538746,7.98034913729606,0.80169221581118,0.000280654582291692,0.398553920036014
"95%",Total,2.82348100819749,0.698646049879177,0.447439971469331,5.14722565516102,8.91703600867012e-05,0.000279286465942398,0.678645721452092,0.823556104825763,1.51557335019442,2.39914590019568e-05,0.00093168,13.9175146998155,1.28101083403292,0.00109283303742566,0.678639555127182
"97.5%",Total,4.37935841570363,1.11647618754185,0.764521294799309,8.79906389550464,0.000149497478120329,0.000464334813482474,1.08451452335478,1.40785022328074,2.44246662593367,3.940574080542e-05,0.00145544,21.3903475636883,1.95975501510407,0.00252624792985895,1.08451178781088
"99%",Total,7.45418069951169,1.84540770353137,1.34672478836402,15.7713862936817,0.000278616482991968,0.000774751434472062,1.79257872073116,2.52342180698907,4.35546328482753,6.7861184619039e-05,0.00253053,36.4168843037929,3.32619334100042,0.00519358071742319,1.79256923464802
"99.5%",Total,10.6910404424677,2.78960268246921,1.9650318608691,24.499535123094,0.000447573746575129,0.0010718000418418,2.70974397598957,3.91992561969505,5.83409303487718,0.000104993146172078,0.00338588,52.390323274665,4.34182624426323,0.00813181987051058,2.70973908044494
"mean",Total,0.573661258228419,0.144456399252921,0.0908438772487369,1.06568448336932,1.91907642314142e-05,5.65679239064264e-05,0.14032100704831,0.170509517339092,0.310887092311308,5.00981351367086e-06,0.00019257864482,2.76282379701864,0.280355053052489,0.000243162378386158,0.140318249267183
"sd",Total,1.70061405458917,0.43823621547949,0.353610852743326,4.46084512742992,7.91678563936241e-05,0.000180532955885839,0.425690709439989,0.713735220388787,1.04016111807353,1.82167344181886e-05,0.000574058322802833,8.32608168176229,0.736902998867042,0.00133126649895278,0.425685803633536
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0.00128271771303339,0.000302245056758426,4.97715929473768e-06,3.35046216345761e-05,6.03549738659804e-09,9.60827027507011e-08,0.000293592606205421,5.36073946153218e-06,0.000342152894110553,4.59159877304007e-09,0,0,0,1.54796990886722e-06,0.000288899014989523
"70%",Males,0.199372787057487,0.0492701170245901,0.0158851027897324,0.162186667838093,3.37900351145835e-06,1.79290242272235e-05,0.0478596481293561,0.0259498668540949,0.0882613375426335,1.22758248001661e-06,9.0489e-05,0,0.203499449781128,1.2649435051809e-05,0.0478587059249621
"75%",Males,0.462424647371209,0.111777651899715,0.0398060019888002,0.459033585853717,8.53569386426519e-06,3.99773785603629e-05,0.108577762987169,0.0734453737365947,0.210589333276613,2.90060065541086e-06,0.000162871,2.15120690442621,0.297304567028054,2.34302638060457e-05,0.108577501277119
"80%",Males,0.75791363242266,0.190217836820055,0.0762768206706485,0.853632631825318,1.51882571723063e-05,6.66461797558911e-05,0.184772419630981,0.136581221092051,0.358977425150414,4.95655910898763e-06,0.000245518,3.69530195647183,0.421541794280168,4.26137129991194e-05,0.184770423878694
"85%",Males,1.11393456962129,0.27222748928111,0.127967353604097,1.51170956512291,2.53782210769967e-05,0.000100557267702553,0.264434359707924,0.241873530419666,0.529150589147536,7.57031723394882e-06,0.000359339,5.52613843370699,0.578387296720038,8.50052116761696e-05,0.264433607513919
"90%",Males,1.61995900478009,0.39909626570822,0.227260233979601,2.64046693225838,4.44025703112693e-05,0.000150100942080427,0.387671229540668,0.42247470916134,0.853708859171289,1.22295155380431e-05,0.00053838,7.9701784984576,0.807797623255789,0.000245872039106012,0.387670554949144
"95%",Males,2.7771128866438,0.695254468937485,0.433159425756664,5.39863022573622,8.77757271041427e-05,0.000271122133946352,0.675351232210457,0.863780836117796,1.53473647616425,2.3007518011521e-05,0.0009315,13.6898263917729,1.28643475251777,0.000963872621111784,0.675348059654758
"97.5%",Males,4.4691859804748,1.12822336823128,0.71084231769925,9.03700445709034,0.00014341878558107,0.000468647796465277,1.09592541434227,1.44592071313445,2.50553820683329,3.59759624716773e-05,0.00145171,21.4473740232875,2.02713993852049,0.00228523750494989,1.09591164718227
"99%",Males,7.73946766062833,1.92906762325021,1.23578766749121,15.8115996791668,0.000253481322608676,0.000737705503680517,1.87384368542113,2.5298559486667,4.41411401331331,6.51574502891943e-05,0.00254162,37.8679026072377,3.32741108409351,0.00472291432613013,1.87384137135175
"99.5%",Males,10.0832026430691,2.76636203863002,1.80022385262937,25.6257711013043,0.000392916104621609,0.00101365893862854,2.68716864831402,4.1001233762087,5.69263114831228,9.09280794545663e-05,0.00326348,51.03778008346,4.34162725233926,0.00853363082006113,2.6868391279264
"mean",Males,0.560116586396623,0.139890591721778,0.0849776734147473,1.07482405360981,1.7661695156901e-05,5.43569342438966e-05,0.135885906117704,0.17197184857757,0.307912111629518,4.52898257242023e-06,0.000188113694082597,2.70088583845808,0.277904813417077,0.000233125220560861,0.135883170227262
"sd",Males,1.54276263580391,0.383980122985848,0.322575442427884,4.58510710442417,7.38102060393262e-05,0.000156795223975743,0.372987820702714,0.733617136707868,1.01939063079933,1.58449097227477e-05,0.000518432242618974,7.58659695116741,0.691200519353394,0.00131528034358888,0.372981614620076
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0.00328050493526612,0.000792197519694892,1.22822335108667e-05,8.71197158955326e-05,1.77278082863635e-08,3.41533991094616e-07,0.000769519068173181,1.39391545432852e-05,0.000894015198309981,1.46713645989799e-08,0,0,0,3.09692808613399e-06,0.000768925498534511
"70%",Females,0.238205178914388,0.0603339387548587,0.0199157135469694,0.197861031757712,4.4763463331305e-06,2.19010080576471e-05,0.0586067428584453,0.031657765081234,0.0970641749375169,1.60497929567807e-06,9.6763e-05,0,0.212240903899241,1.46603537730742e-05,0.05860626398979
"75%",Females,0.496738456868268,0.121666012114555,0.0448940957309925,0.463349189633901,1.03374032475755e-05,4.2522196384371e-05,0.118183046453867,0.0741358703414242,0.223346700189993,3.62228115930046e-06,0.000168752,2.37531760390929,0.309021633876388,2.55175191492863e-05,0.118148244736003
"80%",Females,0.765372565137887,0.188059087457427,0.0794673558888028,0.840056076029218,1.76738382045954e-05,6.84612407433456e-05,0.182675469367127,0.134408972164675,0.350365964661905,5.74125031301887e-06,0.000256247,3.7787448936726,0.416683336082886,5.05750000686698e-05,0.182675264913006
"85%",Females,1.10704220141008,0.27320502188911,0.139151891115298,1.45737134348276,2.97212683225133e-05,0.000101926660961505,0.265383908226969,0.233179414957241,0.540606347481723,8.98463784405719e-06,0.000360966,5.51286227516913,0.561666778840013,0.000106926561386166,0.265381874437038
"90%",Females,1.623173444843,0.418462759673131,0.24381749399592,2.64770040567484,5.29589123308382e-05,0.000154671309183835,0.406483313672665,0.423632064907974,0.875964838131674,1.44613051692713e-05,0.000541013,7.99041610461741,0.790987286705471,0.000312624688175939,0.406483285340619
"95%",Females,2.86114449768195,0.705310667861768,0.463501344193549,4.89505897633675,9.00508891618801e-05,0.000288288577858624,0.685119549622709,0.78320943621388,1.48982106167547,2.47580106144367e-05,0.00093168,14.0053409379949,1.27610403974924,0.00122270351431622,0.685101973437331
