"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0.000352,7.7e-05,2e-06,0,2e-09,0,7.5e-05,0,8.8e-05,1e-09,0,0,0,0,7.5e-05
"30%",Total,0.021087,0.005095,6.1e-05,0.00045,8.7e-08,2e-06,0.004949,7.2e-05,0.005132,7.5e-08,0,0,0,2.2e-05,0.004947
"40%",Total,0.308531,0.073932,0.001607,0.013035,1.532e-06,2.6e-05,0.071816,0.002086,0.078457,1.155e-06,0.000378,0,0.752751,6.1e-05,0.071793
"50%",Total,0.746586,0.181522,0.006212,0.065627,4.119e-06,6.6e-05,0.176325,0.0105,0.195948,2.845e-06,0.001274,0,2.237437,0.00011,0.176321
"60%",Total,1.212527,0.299518,0.01225,0.129899,7.047e-06,0.00011,0.290943,0.020784,0.321143,4.816e-06,0.002098,0,3.510178,0.000179,0.29093
"70%",Total,1.845728,0.465432,0.021009,0.229154,1.1258e-05,0.000174,0.452108,0.036665,0.505697,7.58e-06,0.003216,0,5.23001,0.000281,0.452107
"75%",Total,2.321721,0.581372,0.026879,0.307257,1.4663e-05,0.000221,0.564729,0.049161,0.634584,9.646e-06,0.004094,0,6.379611,0.000357,0.564717
"80%",Total,2.929004,0.742562,0.036228,0.40678,1.8737e-05,0.000283,0.721305,0.065085,0.799551,1.2371e-05,0.005175,0,7.882109,0.000464,0.721217
"85%",Total,3.77295,0.950451,0.050989,0.581724,2.4523e-05,0.000363,0.923242,0.093076,1.029743,1.6137e-05,0.006653,0,9.850994,0.000615,0.923217
"90%",Total,5.145311,1.293461,0.075443,0.873023,3.4157e-05,0.000498,1.256433,0.139684,1.404978,2.2214e-05,0.009076,0,13.299284,0.000886,1.256256
"95%",Total,8.033706,2.03726,0.129579,1.54844,5.576e-05,0.000807,1.978939,0.24775,2.252576,3.5092e-05,0.014218,0,20.187022,0.001432,1.978928
"97.5%",Total,11.609177,2.982521,0.201908,2.514289,8.3038e-05,0.001168,2.89714,0.402286,3.239412,5.1358e-05,0.020785,0,29.048516,0.002151,2.897125
"99%",Total,17.574101,4.395449,0.309444,4.442485,0.000119941,0.001867,4.26962,0.710798,4.743233,8.0004e-05,0.031844,0,42.709914,0.003494,4.269609
"99.5%",Total,23.165048,6.024316,0.420177,5.783544,0.000162637,0.002492,5.851857,0.925367,6.364306,0.000103556,0.042335,0,58.202995,0.004888,5.851404
"mean",Total,1.9915201963,0.5028527841,0.0296490162,0.355233127,1.33033394e-05,0.0001971928,0.4884574763,0.0568373003,0.5454919706,8.5883492e-06,0.0034964275,0,5.1500492421,0.0003490352,0.4884129296
"sd",Total,4.15061127856317,1.06408853645251,0.0878019671194771,1.15575669045683,3.03142909952198e-05,0.00044474313673617,1.03362659000685,0.184921069687029,1.1474435419521,1.8536935613333e-05,0.0075024455079663,0,10.0431834185084,0.000815220413381068,1.03358209196299
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0.030559,0.007519,0.000107,0.000765,1.24e-07,3e-06,0.007303,0.000122,0.007638,1.05e-07,0,0,0,2.6e-05,0.007298
"50%",Males,0.434025,0.101836,0.002923,0.028073,2.156e-06,3.7e-05,0.09892,0.004492,0.113517,1.515e-06,0.000693,0,1.281301,6.9e-05,0.09892
"60%",Males,0.916375,0.219365,0.008668,0.097977,4.917e-06,8.1e-05,0.213085,0.015676,0.238434,3.196e-06,0.001562,0,2.737023,0.000129,0.213056
"70%",Males,1.486114,0.37561,0.016258,0.193254,8.369e-06,0.000135,0.364857,0.030921,0.407758,5.505e-06,0.002565,0,4.384137,0.000214,0.364855
"75%",Males,1.894822,0.470947,0.022277,0.266652,1.0927e-05,0.000178,0.457465,0.042664,0.528226,7.109e-06,0.003337,0,5.483063,0.000274,0.457441
"80%",Males,2.473128,0.608771,0.0306,0.369481,1.4672e-05,0.000233,0.591343,0.059117,0.674946,9.416e-06,0.004384,0,6.797185,0.000364,0.591293
"85%",Males,3.158244,0.805134,0.042374,0.533469,1.9638e-05,0.000308,0.782085,0.085355,0.883228,1.2567e-05,0.005629,0,8.633723,0.000491,0.782064
"90%",Males,4.460194,1.119925,0.066402,0.815005,2.7922e-05,0.000434,1.087865,0.130401,1.213951,1.7694e-05,0.007899,0,11.704597,0.000734,1.087861
"95%",Males,7.45989,1.852127,0.115045,1.468527,4.8202e-05,0.000743,1.799106,0.234964,2.0866,2.9679e-05,0.013304,0,18.665072,0.001193,1.799083
"97.5%",Males,11.17838,2.981425,0.186624,2.429947,7.2607e-05,0.001097,2.896075,0.388792,3.192999,4.5278e-05,0.020126,0,28.116355,0.001746,2.896001
"99%",Males,17.242453,4.308971,0.282,4.191574,0.000109894,0.001845,4.185617,0.670652,4.619488,7.3223e-05,0.031574,0,41.326774,0.002806,4.18508
"99.5%",Males,23.049068,6.160676,0.387292,5.191033,0.000144029,0.002509,5.984313,0.830565,6.729941,9.3139e-05,0.042417,0,55.294639,0.004245,5.980313
"mean",Males,1.72192118181818,0.437662930242017,0.025573101077893,0.332946797640838,1.0846706731747e-05,0.00016944254626805,0.425133830994509,0.0532714846451088,0.478574763066911,6.8368442139516e-06,0.00304858002847265,0,4.48756432580842,0.000276269269880008,0.425099720764694
"sd",Males,3.99156826583637,1.03535587337189,0.0900992112480486,1.27327075133065,2.87114886128244e-05,0.000401908969767434,1.00571646451903,0.203723318514998,1.12719145931481,1.66070203232248e-05,0.00721615299017247,0,9.60451692115948,0.000672847668681053,1.00567272890113
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0.013121,0.003348,3.8e-05,0.000259,5.9e-08,1e-06,0.003252,4.1e-05,0.003301,5e-08,0,0,0,1.7e-05,0.003247
"25%",Females,0.053465,0.012806,0.000137,0.001023,2.22e-07,5e-06,0.01244,0.000164,0.012658,1.96e-07,0,0,0,3.4e-05,0.01243
"30%",Females,0.191478,0.046587,0.000613,0.004559,9.54e-07,1.6e-05,0.045253,0.000729,0.047895,7.56e-07,0,0,0,5.3e-05,0.045222
"40%",Females,0.611035,0.148397,0.004525,0.045776,3.464e-06,5.3e-05,0.144149,0.007324,0.158351,2.421e-06,0.001027,0,1.860043,9.4e-05,0.144143
"50%",Females,0.997561,0.244774,0.009368,0.094216,6.094e-06,9.1e-05,0.237767,0.015075,0.262542,4.201e-06,0.001706,0,2.968628,0.000153,0.237724
"60%",Females,1.491668,0.372447,0.015638,0.160567,9.21e-06,0.00014,0.361785,0.025691,0.400223,6.478e-06,0.002583,0,4.117477,0.000226,0.361753
"70%",Females,2.241477,0.56072,0.02492,0.263388,1.4551e-05,0.000209,0.544668,0.042142,0.600147,9.828e-06,0.003825,0,6.067525,0.000349,0.54466
"75%",Females,2.725231,0.695922,0.031706,0.337376,1.8044e-05,0.000264,0.676,0.05398,0.74278,1.217e-05,0.004785,0,7.325792,0.000435,0.67592
"80%",Females,3.404212,0.852048,0.041859,0.439466,2.2393e-05,0.000328,0.827657,0.070315,0.918825,1.5243e-05,0.005941,0,8.742785,0.000559,0.827646
"85%",Females,4.363394,1.081283,0.058732,0.6228,2.841e-05,0.000411,1.050329,0.099648,1.170477,1.9667e-05,0.007581,0,11.039404,0.000735,1.050287
"90%",Females,5.790779,1.429242,0.084907,0.931553,4.0176e-05,0.000569,1.388327,0.149048,1.552721,2.6113e-05,0.010287,0,14.464896,0.001036,1.388251
"95%",Females,8.6168,2.156148,0.146773,1.590737,6.211e-05,0.000862,2.094423,0.254518,2.377308,4.0034e-05,0.015046,0,21.364073,0.00165,2.094388
"97.5%",Females,11.97738,2.982521,0.214154,2.56702,9.0272e-05,0.001229,2.89714,0.410723,3.287854,5.5516e-05,0.021284,0,30.262945,0.002534,2.897125
"99%",Females,17.945136,4.47332,0.334511,4.563553,0.000136417,0.001913,4.345261,0.730169,4.835833,8.5031e-05,0.031977,0,44.568235,0.00378,4.345127
"99.5%",Females,23.165048,5.820617,0.471847,5.973256,0.000169957,0.002398,5.653988,0.955721,6.251313,0.0001075,0.042257,0,58.423572,0.005327,5.653699
"mean",Females,2.25231467873303,0.565913675585284,0.0335918205783986,0.376791632107023,1.56797436553217e-05,0.000224036789297659,0.549713105646272,0.0602866639779658,0.610223804052725,1.02826537477867e-05,0.00392964922289986,0,5.79089880602007,0.00041942474916388,0.549658463309069
"sd",Females,4.28313797251933,1.08755241284254,0.0853448698862889,1.02906264947569,3.16095864270623e-05,0.000481093139463783,1.05641875990328,0.164650024089394,1.16315243058047,2.00862042984474e-05,0.00774546149962043,0,10.4109190884758,0.000927133500918553,1.05637456471008
"0.5%",Females_Repro,0.000357,9.2e-05,1e-06,0,2e-09,0,8.9e-05,0,0.000106,2e-09,0,0,0,0,8.9e-05
"1%",Females_Repro,0.00099,0.000261,3e-06,1.1e-05,5e-09,0,0.000253,2e-06,0.000257,4e-09,0,0,0,1e-06,0.000253
"2.5%",Females_Repro,0.003126,0.000809,1.3e-05,8.2e-05,1.4e-08,0,0.000786,1.3e-05,0.000826,1.2e-08,0,0,0,7e-06,0.000785
"5%",Females_Repro,0.010283,0.002294,3.5e-05,0.000226,4.4e-08,1e-06,0.002229,3.6e-05,0.002249,3.7e-08,0,0,0,1.4e-05,0.002227
"10%",Females_Repro,0.039534,0.009579,0.000107,0.000752,1.64e-07,4e-06,0.009305,0.00012,0.009448,1.46e-07,0,0,0,3e-05,0.009297
"15%",Females_Repro,0.131267,0.032591,0.000388,0.002867,5.97e-07,1.2e-05,0.031658,0.000459,0.032455,5.16e-07,0,0,0,4.6e-05,0.031609
