"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,3.5744676387275e-282,7.99567080629174e-283,0,0,1.13331866662996e-287,2.94918395842996e-286,7.7667765870396e-283,0,7.76864285157179e-283,1.10052309753729e-287,0,0,0,0,7.76218606846561e-283
"90%",Total,1.37770874373099e-281,3.49942553597318e-282,0,0,4.95265198465028e-287,1.34166415974966e-285,3.39924653970219e-282,0,3.40022155412024e-282,4.80910966331996e-287,0,0,0,0,3.3942030901705e-282
"95%",Total,4.98510063024749e-181,7.28548272703428e-182,1.04902826726639e-183,8.77028669771174e-183,1.06838451378541e-186,5.86352500545008e-185,7.07691925298939e-182,1.40324587163388e-183,7.22310736515823e-182,9.44104573371413e-187,0,0,0,1.04902826726639e-183,7.06105905565115e-182
"97.5%",Total,1.11731402972815e-78,2.33807195032033e-79,2.49317199043914e-81,2.13451192410546e-80,4.18535401057178e-84,1.21556676555147e-82,2.27113933558552e-79,3.41521907856874e-81,2.2946752151137e-79,3.87281285884761e-84,0,0,0,1.82386442415791e-81,2.26832527086281e-79
"99%",Total,4.19842966089593e-30,1.02596755637764e-30,2.07417277996608e-32,1.32158232278953e-31,1.66297082020204e-35,4.36812620288771e-34,9.9659690712451e-31,2.11453171646325e-32,9.9980173430336e-31,1.59216187474412e-35,0,0,0,3.60877579319365e-33,9.95354674947154e-31
"99.5%",Total,2.71178801613801e-15,5.166362877809e-16,6.08942401775584e-18,5.42293638419112e-17,9.07487339635947e-21,1.97829191024553e-19,5.01846401779606e-16,8.6766982147058e-18,5.54943296083822e-16,7.19706875096669e-21,0,0,0,2.47604528951028e-18,5.01134047489289e-16
"mean",Total,0.692392849540271,0.148772778499618,0.0665392595965783,0.914206005186223,1.51510641224099e-05,3.76832678309887e-05,0.144513820145074,0.146272960829796,0.2908244642427,4.12226911705381e-06,0,4.03096631004603,0.322828565602795,0.000225320178184905,0.144512586879666
"sd",Total,54.4781809838806,11.8637087429343,5.68536950240982,80.3278886731598,0.0013338485142169,0.00282482983662489,11.5240831610492,12.8524621877056,24.3080117042879,0.000351225523432411,0,317.789200007952,25.450828340328,0.01909823785478,11.5240830505209
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,2.53110666526929e-282,6.10420329883813e-283,0,0,7.3780486948752e-288,2.06300657461803e-286,5.92945662878458e-283,0,5.93157502224007e-283,7.16197673280923e-288,0,0,0,0,5.92545498054724e-283
"90%",Males,1.13035042757515e-281,2.8760983140602e-282,0,0,3.94656432128669e-287,1.14280709177491e-285,2.79376347386504e-282,0,2.79520763645233e-282,3.81677383615465e-287,0,0,0,0,2.79231778819213e-282
"95%",Males,2.10009070534912e-180,5.60997034638187e-181,4.7518124871749e-183,3.93047030291368e-182,9.17361086765524e-186,2.64939564575801e-184,5.44937221602209e-181,6.28875248466189e-183,5.5156072412046e-181,7.64766097021349e-186,0,0,0,4.7518124871749e-183,5.44463505542849e-181
"97.5%",Males,6.84828629297538e-73,1.52242954962851e-73,1.12859763621593e-75,1.22457706836283e-74,1.75489124350365e-78,3.63354906107656e-77,1.4788465493311e-73,1.95932330938053e-75,1.49147177339667e-73,1.63596906255527e-78,0,0,0,9.45924228032739e-76,1.47683172983373e-73
"99%",Males,1.04950294501526e-23,3.07895776204432e-24,3.50053533892086e-26,2.70497267918667e-25,4.18652752444182e-29,9.72953791247094e-28,2.99081560985631e-24,4.32795628669867e-26,3.00075984723486e-24,4.00436653568511e-29,0,0,0,6.41524561131524e-27,2.98875668454216e-24
"99.5%",Males,1.70619241135789e-12,5.64655632514237e-13,2.34698541591326e-14,1.25915124694677e-13,6.82954055239563e-18,2.83052645653636e-16,5.48491083812586e-13,2.01464199511483e-14,5.50636101900458e-13,6.51634236413143e-18,0,0,0,1.62304813790425e-15,5.48136531566598e-13
"mean",Males,1.41848520682617,0.304579067798219,0.136360227364007,1.87378545244483,3.10464212423593e-05,7.71632486352673e-05,0.295859800883258,0.299805672391172,0.595742636523066,8.44319311215894e-06,0,8.26525796605707,0.661940876774236,0.000387417402158614,0.295859410587357
"sd",Males,78.0067504647067,16.9875545461728,8.14092739980888,115.02261874941,0.0019099566534408,0.00404480907774686,16.5012472520068,18.4036189999055,34.8067276259813,0.000502922450846404,0,455.039253950249,36.4427927069544,0.0269718814787473,16.5012472271554
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,4.47737801937983e-282,1.00187790007644e-282,0,0,1.59718765817018e-287,3.8485002140487e-286,9.73196871895103e-283,0,9.74046811000731e-283,1.55085123336502e-287,0,0,0,0,9.72117426054238e-283
"90%",Females,1.58707535564532e-281,4.0056076175663e-282,0,0,6.60874080015133e-287,1.52734006935337e-285,3.89093801066706e-282,0,3.89298677909565e-282,6.41718663651859e-287,0,0,0,0,3.88397044274665e-282
"95%",Females,2.59841410915386e-181,6.4730352695447e-182,4.18469225819092e-184,3.34073487741269e-183,9.47576076452481e-187,1.47315328599155e-185,6.28772994743863e-182,5.3451758038603e-184,6.34265485876323e-182,8.82607441349536e-187,0,0,0,4.18469225819092e-184,6.27884351333191e-182
"97.5%",Females,2.48370323233577e-87,7.05910671567792e-88,8.60990235275331e-90,6.24760779616691e-89,1.86693773174508e-92,4.33740869602686e-91,6.85702376861222e-88,9.99617247386706e-90,7.27755460145401e-88,1.4054710165706e-92,0,0,0,8.60990235275331e-90,6.85012916690561e-88
"99%",Females,7.93179257334293e-38,2.19332119275507e-38,8.56657564667937e-41,6.28860983245748e-40,4.49060602853527e-43,3.46037805416983e-42,2.13053239689947e-38,1.0061775731932e-40,2.14094021043682e-38,4.25934396805044e-43,0,0,0,8.56657564667937e-41,2.12896509244961e-38
"99.5%",Females,3.50732013584498e-20,8.74280068917559e-21,2.68405658372938e-22,1.86778539023787e-21,1.28282784933434e-25,2.11766593016576e-24,8.49251818176531e-21,2.98845662438059e-22,8.84598956917229e-21,1.03709750863952e-25,0,0,0,2.68405658372938e-22,8.48406979168663e-21
"mean",Females,0.0011665316633791,0.000448110744537764,7.10066585050745e-05,0.000704352974585635,1.89820076346952e-08,9.90659214695696e-08,0.000435282557698361,0.000112696475933702,0.000548078099553532,8.83044359534568e-09,0,0,0,7.10066585050745e-05,0.000433246801116331
"sd",Females,0.0562664011248603,0.0221214859254998,0.00440988282706789,0.0434579697327311,1.07473166630747e-06,4.74581119661134e-06,0.021488208196553,0.00695327515723697,0.0277098085361251,4.57123767081975e-07,0,0,0,0.00440988282706789,0.0213793480029951
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
