"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","M","78","W","0","69.231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.566864","0","0","0","0"
"2","F","22","S","0","65.648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","M","3","W","0","18.984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","F","9","P","0","33.113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","F","29","F","1","78.843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","M","12","S","0","50.507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","F","33","W","1","59.918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","F","36","P","1","53.817","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","F","58","F","0","61.104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","F","14","W","0","47.297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","M","10","S","0","26.753","5.4e-05","1e-06","1.7e-05","0","0","0","4e-06","2.1e-05","1e-09","0","1e-06","1.6e-05","1.7e-05","1e-09","6e-06","0.138753","0","0","1e-06","1.6e-05"
"12","F","75","F","0","63.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","F","48","P","0","65.049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","F","9","S","0","37.922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","M","33","W","1","69.821","0.000894","1.4e-05","0.000228","0","0","0","0.000103","0.000331","5e-09","0","1.6e-05","0.000222","0.000238","3e-09","7.9e-05","4.552543","0","0","1.4e-05","0.000222"
"16","F","55","W","0","65.056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","M","61","P","0","73.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6e-06","0","0","0","0"
"18","M","57","S","0","68.611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","F","64","S","0","52.864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","F","58","S","1","65.091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","M","43","P","0","92.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","F","64","S","1","80.315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","F","79","F","0","73.757","0.001563","1.8e-05","0.000359","0","0","0","9e-05","0.000449","6e-09","0","1.4e-05","0.000349","0.000363","5e-09","0.000226","2.825963","0","0","1.8e-05","0.000348"
"24","F","17","P","0","70.742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","M","16","P","0","63.442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","F","85","S","0","85.137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","F","41","W","0","59.678","9.2e-05","1e-06","2.4e-05","0","0","0","8e-06","3.2e-05","1e-09","0","1e-06","2.4e-05","2.5e-05","0","1.6e-05","0.217523","0","0","1e-06","2.4e-05"
"28","F","26","F","0","87.694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","F","1","W","1","11.133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","F","20","F","0","49.402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","F","57","S","0","61.225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000199","0","0","0","0"
"32","M","57","S","0","93.405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","F","8","S","0","23.358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","M","28","F","0","72.616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","M","44","P","0","64.234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","F","57","W","1","59.767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","F","48","F","1","55.571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","F","77","W","0","87.366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","M","11","P","0","36.397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","M","17","P","1","49.965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","F","12","S","0","43.896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","F","65","S","1","62.501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","M","7","F","1","29.821","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","F","33","F","0","67.383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.475538","0","0","0","0"
"45","F","57","F","1","81.563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","M","15","W","0","48.363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","M","38","F","0","87.345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","M","16","S","0","73.685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","M","70","W","0","73.434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","M","23","F","1","63.594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","M","17","S","1","69.016","0.002393","5e-06","0.000532","0","1e-06","0","4.7e-05","0.000579","8e-09","0","8e-06","0.000516","0.000524","8e-09","0.000339","0.20289","0","0","5e-06","0.000516"
"52","F","53","W","1","67.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","F","31","F","0","67.827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","F","72","S","1","68.446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06","0","0","0","0"
"55","M","43","P","1","72.856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","M","35","F","0","83.331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","F","65","W","0","42.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","F","44","P","0","81.536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","M","5","S","0","19.031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.572928","0","0","0","0"
"60","M","2","P","0","12.815","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","F","72","W","0","98.612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","M","37","S","1","110.663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","M","45","P","0","75.699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","F","43","S","0","60.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","F","29","F","0","66.887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","F","16","W","0","61.832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","M","58","W","0","71.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","M","41","F","0","65.063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","F","56","F","0","63.698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","F","28","W","0","61.207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","M","45","W","0","77.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","F","23","P","0","56.633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","M","60","F","1","87.378","1e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001166","0","0","0","0"
"74","M","75","W","0","88.708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","M","44","P","0","116.186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","F","9","F","0","28.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
