"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,2.76539487457191e-265,1.02100195700276e-265,4.77653245416503e-266,4.34896756288269e-265,2.67521026099924e-269,6.40057344439353e-269,9.91773459298836e-266,6.9583481006123e-266,1.81912917969993e-264,2.41861340514237e-269,0,0,0,3.42169358014455e-266,9.91318475854653e-266
"75%",Total,2.36236447420068e-151,6.19254247194538e-152,2.84012897908344e-153,2.76627793881865e-152,3.87805368021723e-156,2.75336954771248e-155,6.01526689261735e-152,4.42604470210985e-153,2.83463690566527e-151,3.48914620308911e-156,0,0,0,2.70486862989279e-153,6.00948479904495e-152
"80%",Total,2.02667846034303e-96,5.61407923556565e-97,1.15744768745755e-98,9.21744661273226e-98,1.42851710524671e-101,2.10921960262505e-100,5.45336347892979e-97,1.47479145803716e-98,8.24690716041541e-97,1.30268133678043e-101,0,0,0,8.5247612434856e-99,5.44737668512776e-97
"85%",Total,2.58794108265647e-60,6.67255264798551e-61,9.04060200658176e-63,7.42682234348903e-62,1.32752328097382e-65,2.20098013647891e-64,6.48153568821053e-61,1.18829157495825e-62,6.78861055931982e-61,1.07931809430667e-65,0,0,0,5.07739909640672e-63,6.47352821715889e-61
"90%",Total,2.18819438380019e-35,4.93035082351387e-36,5.98145625356083e-38,5.09127227651272e-37,1.11718437380875e-40,1.83116296591214e-39,4.78920834407371e-36,8.14603564242035e-38,5.26695156385463e-36,1.01818690631494e-40,0,0,0,5.16674426037942e-38,4.78464586227529e-36
"95%",Total,3.19104902985792e-16,7.92004075953789e-17,1.33851933373357e-18,1.229657754469e-17,1.49806840620081e-21,2.78778847120779e-20,7.69331162198097e-17,1.9674524071504e-18,9.20841786582218e-17,1.16760175625308e-21,0,0,0,9.67157251280606e-19,7.68254556951606e-17
"97.5%",Total,1.24109122331614e-08,3.08377394502945e-09,3.32995416130964e-11,2.50237185128277e-10,4.97601496224426e-14,9.46144800936567e-13,2.99549391867541e-09,4.00379496205244e-11,3.03301135835256e-09,4.34337110407058e-14,0,0,0,2.90208873740527e-11,2.99405982716278e-09
"99%",Total,0.000263573429683496,7.13264530010158e-05,9.61915384221786e-07,7.22333765248349e-06,1.02392896157792e-09,3.10275231683096e-08,6.92845714419545e-05,1.15573402439736e-06,6.99200508678556e-05,9.28735046686769e-10,0,0,0,5.14585521476579e-07,6.89815712564064e-05
"99.5%",Total,0.018263149508278,0.0049419133516704,4.99737787783365e-05,0.000448889558178037,8.20203138227364e-08,1.56159634854028e-06,0.00480043986862603,7.18223293084859e-05,0.00487201194238319,6.93446034218038e-08,0,0,0,3.74067037872177e-05,0.00479062237318063
"mean",Total,0.0380878010849549,0.00938071129658341,0.00076555355447417,0.0113017742862343,2.73098693640813e-07,4.41751211207e-06,0.00911216715059736,0.00180828388579749,0.0109248685485069,1.42783070180824e-07,6.86148e-05,0,0.00852071490085483,7.34450993183994e-06,0.00911182262764542
"sd",Total,1.73047269872987,0.428680937174754,0.0394306418154775,0.590356843576464,1.36757825043076e-05,0.000205163988733888,0.416408972657946,0.0944570949722343,0.50455377383785,6.72927230777349e-06,0.0032537096899225,0,0.404050250250015,0.000381899621358834,0.416408644548664
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,1.60813095826457e-281,4.27372125993401e-282,8.23558025052774e-320,4.72252647577356e-319,5.97159564050109e-287,1.55168853764917e-285,4.15137629166392e-282,7.55623998749602e-320,4.34081746134602e-282,5.79918691678833e-287,0,0,0,4.85468903603609e-320,4.147255714212e-282
"75%",Males,6.33279611081216e-168,1.78066696258883e-168,1.50086757136724e-167,1.13284688778623e-166,1.00467415173733e-169,6.45904899875875e-172,1.72969133039683e-168,1.81255502045797e-167,4.83427155895011e-165,9.57595122709829e-170,0,0,0,9.9997409382751e-168,1.72858714832395e-168
"80%",Males,2.34678850317826e-103,6.82472745862764e-104,1.9416774507456e-105,2.1786605023143e-104,8.26726817921063e-108,2.04469903241658e-107,6.62935414960871e-104,3.48585680370288e-105,4.67488572453345e-103,6.66208562373105e-108,0,0,0,1.26056571191424e-105,6.62415268608587e-104
"85%",Males,1.03285321092216e-64,2.73792309778273e-65,2.41047398935078e-67,2.79805254297658e-66,3.60566179116523e-70,1.06667137255599e-68,2.6595438366773e-65,4.47688406876253e-67,2.75897692979088e-65,3.32330697753451e-70,0,0,0,1.9661756972132e-67,2.65450167983278e-65
"90%",Males,2.94217971039944e-37,8.86236686901139e-38,1.28535220951604e-39,1.45053260535961e-38,1.43621298013249e-42,3.04737104854829e-41,8.60866150840398e-38,2.32085216857538e-39,8.91062694653928e-38,1.19203991609463e-42,0,0,0,9.62968758245929e-40,8.60273090807622e-38
"95%",Males,3.29573264539272e-16,9.42447890382279e-17,1.71006197493535e-18,2.24405753974233e-17,1.49806840620081e-21,3.6862760056501e-20,9.15468181076948e-17,3.59049206358772e-18,9.51826219093645e-17,1.16760175625308e-21,0,0,0,1.33851933373357e-18,9.14774811005858e-17
"97.5%",Males,3.59974194282929e-09,7.88872042777223e-10,8.69151054323842e-12,9.24755786453259e-11,1.13360309079658e-14,3.47569990056928e-13,7.6628879057789e-10,1.47960925832521e-11,7.7918209262577e-10,1.06404447970397e-14,0,0,0,7.93720822407766e-12,7.65827211305675e-10
"99%",Males,0.000214513742479473,5.5890904821989e-05,6.26512571971906e-07,5.85686827695372e-06,6.69158436436724e-10,1.91810838921286e-08,5.42909008532841e-05,9.37098924312595e-07,5.56727764160654e-05,5.81627094440791e-10,0,0,0,3.63600223402659e-07,5.42409244600687e-05
"99.5%",Males,0.0205137325341273,0.0052798740271303,4.66518468815342e-05,0.00036190726443434,7.26223429169707e-08,1.4513017772863e-06,0.00512872565290776,5.79051623094944e-05,0.00516409578796708,6.82339136786065e-08,0,0,0,2.19362569662107e-05,0.00512486773500138
"mean",Males,0.0495703997508013,0.0128011884849495,0.000935493634142864,0.0134615556351793,3.16782971346647e-07,6.36563399547403e-06,0.0124347254182789,0.00215384890162869,0.0145949399539031,1.74885528527141e-07,9.13838696369637e-05,0,0.0113482234038456,2.92203980756723e-06,0.0124344433293079
"sd",Males,1.86944764269525,0.496829088505789,0.0371649732857616,0.521731244970208,1.21263051784247e-05,0.000252081165580172,0.482606228526887,0.0834769991952332,0.560202543634251,6.77559398660979e-06,0.00351571275837861,0,0.436585115426712,9.96471834852018e-05,0.482606021462683
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,3.09564152204705e-235,7.97677548991851e-236,1.79907136254974e-236,1.1784651300574e-235,2.14577882122408e-239,2.89803467585187e-239,7.7484221919716e-236,1.88554420809184e-236,1.31879004779636e-234,1.95078035633084e-239,0,0,0,1.79907136254974e-236,7.74343013290115e-236
"75%",Females,3.71488983270939e-139,8.70930529114028e-140,2.93239279674984e-141,2.19351646458522e-140,7.26477964571873e-144,4.34611772281688e-143,8.45998166550084e-140,3.50962634333634e-141,3.4905753793491e-139,6.36120234445484e-144,0,0,0,2.93239279674984e-141,8.45424094430769e-140
"80%",Females,1.21045258385787e-89,1.89217937186427e-90,8.52050526202415e-92,7.24685729909651e-91,1.13171277111439e-94,1.26909723482043e-93,1.83801144393169e-90,1.15949716785544e-91,8.86459516729676e-90,1.03519012417771e-94,0,0,0,8.52050526202415e-92,1.836483794893e-90
"85%",Females,5.1177838690931e-57,1.25612149697657e-57,1.61552594914331e-59,1.18075147691618e-58,2.636123131965e-62,3.80861350259771e-61,1.22016216894746e-57,1.88920236306589e-59,1.36608783393675e-57,2.39198671491836e-62,0,0,0,9.98066012016912e-60,1.21873312932322e-57
"90%",Females,1.77101633475178e-34,4.83904717114359e-35,6.5198373347602e-37,5.75972328662993e-36,9.82583027341105e-40,1.57075231872192e-38,4.70051846592331e-35,9.21555725860789e-37,5.199139447539e-35,9.22062466802406e-40,0,0,0,6.08769769885996e-37,4.69672087943397e-35
"95%",Females,2.41224110527977e-16,6.28880317669745e-17,7.64138993638562e-19,6.99994315728678e-18,1.33783776319762e-21,2.03581909183071e-20,6.10877191627739e-17,1.11999090516589e-18,7.17924630290382e-17,1.12266863397021e-21,0,0,0,4.49375756761459e-19,6.0995471433318e-17
"97.5%",Females,2.17664275553378e-08,6.18155615595506e-09,7.90612443710182e-11,5.07670625751462e-10,1.0821355611379e-13,2.54863902769103e-12,6.00459508485054e-09,8.12273001202339e-11,6.14784622310193e-09,9.38335983167265e-14,0,0,0,5.87937612195709e-11,5.99799936786327e-09
