"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Total,2.3e-05,6e-06,0,0,0,0,6e-06,0,6e-06,0,0,0,0,0,6e-06
"99%",Total,0.010555,0.002511,3.5e-05,0.000271,5.4e-08,1e-06,0.002439,4.3e-05,0.002497,4.7e-08,0,0,0,1.5e-05,0.002438
"99.5%",Total,0.114064,0.026208,0.000344,0.002677,4.72e-07,1.1e-05,0.025458,0.000428,0.026764,4.17e-07,0,0,0,0.00014,0.025436
"mean",Total,0.0193013801,0.004455767,0.0064836091,0.0782543378,1.2396172e-06,1.9404e-06,0.004328211,0.0125206937,0.0168508467,2.542945e-07,3.38666e-05,0,0.0841127626,3.3494e-06,0.0043274186
"sd",Total,0.6069381417479,0.12969089511662,0.203226683700091,2.50249647132931,3.8878914214079e-05,6.4254521336566e-05,0.125978200189266,0.400399440861655,0.512262210507237,7.64747266421952e-06,0.00113997056545046,0,2.83129582586157,5.91762511697915e-05,0.125977202961453
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Males,2.3e-05,6e-06,0,1e-06,0,0,6e-06,0,6e-06,0,0,0,0,0,6e-06
"99%",Males,0.01049,0.002461,3.5e-05,0.000372,4.1e-08,1e-06,0.002391,6e-05,0.002451,3.5e-08,0,0,0,1.5e-05,0.002389
"99.5%",Males,0.080304,0.0239,0.000344,0.002917,3.62e-07,7e-06,0.023216,0.000467,0.023748,3.17e-07,0,0,0,0.000108,0.0232
"mean",Males,0.0106167937293729,0.00250584034653465,0.00412074752475248,0.0611061594471947,8.73722359735974e-07,7.77021452145215e-07,0.00243410499174917,0.00977698411716172,0.0122118694306931,1.6852103960396e-07,1.77320544554455e-05,0,0.044040013820132,3.88531353135314e-06,0.00243378217821782
"sd",Males,0.228109415571929,0.0538982701281744,0.126748836287107,2.11227031074809,3.14440519117118e-05,1.80650770981229e-05,0.0523553051013528,0.337963252358468,0.376858922426845,5.50060802291872e-06,0.000426940737121647,0,1.06036928802276,7.31754623105744e-05,0.0523545219990156
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females,1.9e-05,6e-06,0,0,0,0,6e-06,0,6e-06,0,0,0,0,0,6e-06
"99%",Females,0.013854,0.004185,3.1e-05,0.000241,5.6e-08,1e-06,0.004065,3.9e-05,0.004106,5e-08,0,0,0,1.5e-05,0.004061
"99.5%",Females,0.124921,0.028274,0.000298,0.002532,4.72e-07,1.2e-05,0.027464,0.000405,0.027651,4.38e-07,0,0,0,0.000161,0.027432
"mean",Females,0.0274735219332298,0.00629063586956522,0.00870704716614907,0.0943906671195652,1.58392197204969e-06,3.03513198757764e-06,0.00611055298913043,0.0151025073757764,0.0212160954968944,3.35006793478261e-07,4.90491071428571e-05,0,0.121820970302795,2.84510869565217e-06,0.00610931871118012
"sd",Females,0.816074747985196,0.17294374520698,0.255039922591005,2.82093791582441,4.4761630109754e-05,8.77773681767025e-05,0.167992841242188,0.451350074044401,0.612951054708401,9.22187621943358e-06,0.00153317525342417,0,3.80788270505336,4.19346321721132e-05,0.167991628907609
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females_Repro,8.7e-05,2.3e-05,0,2e-06,0,0,2.3e-05,0,2.4e-05,0,0,0,0,0,2.3e-05
"99%",Females_Repro,0.030035,0.007217,5.8e-05,0.000476,1.41e-07,3e-06,0.007011,7.6e-05,0.007083,1.22e-07,0,0,0,3.1e-05,0.007004
"99.5%",Females_Repro,0.135664,0.033698,0.000497,0.003766,7.04e-07,1.3e-05,0.032733,0.000603,0.033129,6.62e-07,0,0,0,0.000222,0.032714
"mean",Females_Repro,0.0269479420056383,0.00603054853000403,0.00788970116794201,0.0943483862263391,1.53392549335481e-06,2.47523157470801e-06,0.0058579109947644,0.0150957422472815,0.0209561296818365,3.22223922674184e-07,4.79633507853403e-05,0,0.119123780104712,3.63350785340314e-06,0.00585702053966975
"sd",Females_Repro,0.891574937107262,0.180191357111452,0.278094809012904,3.31128010021128,5.06852540102969e-05,7.88810220733017e-05,0.175032973263667,0.52980482348135,0.704071655087074,1.02370876837882e-05,0.00167443174091446,0,4.15871481619095,4.84825516357488e-05,0.17503202049844
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
