"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Total,0.00634422802180254,0.00153730457597804,0.000162246350290185,0.002508347292127,5.45566617504335e-08,6.2438159311336e-07,0.00149329574429948,0.00040133556674032,0.00189525569263292,2.58695900703157e-08,0,0.00438135509606174,0.00145355720349576,0,0.00149329574429948
"sd",Total,0.175886042629827,0.0436104968462307,0.00512549183011608,0.0940712647683018,1.60590445314311e-06,1.9245568441235e-05,0.0423620474204538,0.0150514023629283,0.0513351928957787,7.17687158260795e-07,0,0.130414837548043,0.0407907538718179,0,0.0423620474204538
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Males,0.012413585683175,0.00299247842929871,0.000326907805767594,0.00506486353037315,1.08858114606091e-07,1.22117588662206e-06,0.0029068119442348,0.000810378164859703,0.00371841128498112,5.0939404279373e-08,0,0.00860531217596229,0.00289965836383276,0,0.0029068119442348
"sd",Males,0.248344402720924,0.0614474506238339,0.00730424241330788,0.134114044681748,2.28456687061514e-06,2.72228367260781e-05,0.0596883779235785,0.0214582471490796,0.0725440464637073,1.01623017286865e-06,0,0.184671895333029,0.0580101465313766,0,0.0596883779235785
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Females,0.000477779072806367,0.000130779602709383,3.08980089559967e-06,3.72996400169144e-05,2.07059669919297e-09,4.75391245597233e-08,0.000127035739838901,5.9679424027063e-06,0.000133051221366167,1.63790141003711e-09,0,0.000298611920503979,5.58016080077882e-05,0,0.000127035739838901
"sd",Females,0.0340700367429146,0.00932578700728951,0.000220331186594342,0.00265980696561147,1.47652565037843e-07,3.38997627284563e-06,0.0090588151937094,0.000425569114497835,0.00948777428448008,1.16797416206322e-07,0,0.0212937729643216,0.00397916724140315,0,0.0090588151937094
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
